date_hq,demande_mw,occurrence,collecte_utc
2026-09-22T08:15:00,19152,1,2026-09-23T21:35:24Z
2026-09-22T08:30:00,19039,1,2026-09-23T21:35:24Z
2026-09-22T08:45:00,18947,1,2026-09-23T21:35:24Z
2026-09-22T09:00:00,18946,1,2026-09-23T21:35:24Z
2026-09-22T09:15:00,18692,1,2026-09-23T21:35:24Z
2026-09-22T09:30:00,18652,1,2026-09-23T21:35:24Z
2026-09-22T09:45:00,18464,1,2026-09-23T21:35:24Z
2026-09-22T10:00:00,18426,1,2026-09-23T21:35:24Z
2026-09-22T10:15:00,18336,1,2026-09-23T21:35:24Z
2026-09-22T10:30:00,18386,1,2026-09-23T21:35:24Z
2026-09-22T10:45:00,14126,1,2026-09-23T21:35:24Z
2026-09-22T11:00:00,18322,1,2026-09-23T21:35:24Z
2026-09-22T11:15:00,18372,1,2026-09-23T21:35:24Z
2026-09-22T11:30:00,18386,1,2026-09-23T21:35:24Z
2026-09-22T11:45:00,18290,1,2026-09-23T21:35:24Z
2026-09-22T12:00:00,18022,1,2026-09-23T21:35:24Z
2026-09-22T12:15:00,17937,1,2026-09-23T21:35:24Z
2026-09-22T12:30:00,17984,1,2026-09-23T21:35:24Z
2026-09-22T12:45:00,18119,1,2026-09-23T21:35:24Z
2026-09-22T13:00:00,18108,1,2026-09-23T21:35:24Z
2026-09-22T13:15:00,18008,1,2026-09-23T21:35:24Z
2026-09-22T13:30:00,18051,1,2026-09-23T21:35:24Z
2026-09-22T13:45:00,17908,1,2026-09-23T21:35:24Z
2026-09-22T14:00:00,17883,1,2026-09-23T21:35:24Z
2026-09-22T14:15:00,17749,1,2026-09-23T21:35:24Z
2026-09-22T14:30:00,17680,1,2026-09-23T21:35:24Z
2026-09-22T14:45:00,17649,1,2026-09-23T21:35:24Z
2026-09-22T15:00:00,17549,1,2026-09-23T21:35:24Z
2026-09-22T15:15:00,17571,1,2026-09-23T21:35:24Z
2026-09-22T15:30:00,17740,1,2026-09-23T21:35:24Z
2026-09-22T15:45:00,17709,1,2026-09-23T21:35:24Z
2026-09-22T16:00:00,17847,1,2026-09-23T21:35:24Z
2026-09-22T16:15:00,18026,1,2026-09-23T21:35:24Z
2026-09-22T16:30:00,18061,1,2026-09-23T21:35:24Z
2026-09-22T16:45:00,18332,1,2026-09-23T21:35:24Z
2026-09-22T17:00:00,18665,1,2026-09-23T21:35:24Z
2026-09-22T17:15:00,18699,1,2026-09-23T21:35:24Z
2026-09-22T17:30:00,18915,1,2026-09-23T21:35:24Z
2026-09-22T17:45:00,19242,1,2026-09-23T21:35:24Z
2026-09-22T18:00:00,18873,1,2026-09-23T21:35:24Z
2026-09-22T18:15:00,18949,1,2026-09-23T21:35:24Z
2026-09-22T18:30:00,19209,1,2026-09-23T21:35:24Z
2026-09-22T18:45:00,19308,1,2026-09-23T21:35:24Z
2026-09-22T19:00:00,19241,1,2026-09-23T21:35:24Z
2026-09-22T19:15:00,19160,1,2026-09-23T21:35:24Z
2026-09-22T19:30:00,19203,1,2026-09-23T21:35:24Z
2026-09-22T19:45:00,19251,1,2026-09-23T21:35:24Z
2026-09-22T20:00:00,19162,1,2026-09-23T21:35:24Z
2026-09-22T20:15:00,18951,1,2026-09-23T21:35:24Z
2026-09-22T20:30:00,18709,1,2026-09-23T21:35:24Z
2026-09-22T20:45:00,18524,1,2026-09-23T21:35:24Z
2026-09-22T21:00:00,18295,1,2026-09-23T21:35:24Z
2026-09-22T21:15:00,18235,1,2026-09-23T21:35:24Z
2026-09-22T21:30:00,17973,1,2026-09-23T21:35:24Z
2026-09-22T21:45:00,17902,1,2026-09-23T21:35:24Z
2026-09-22T22:00:00,17517,1,2026-09-23T21:35:24Z
2026-09-22T22:15:00,17334,1,2026-09-23T21:35:24Z
2026-09-22T22:30:00,16863,1,2026-09-23T21:35:24Z
2026-09-22T22:45:00,16736,1,2026-09-23T21:35:24Z
2026-09-22T23:00:00,16630,1,2026-09-23T21:35:24Z
2026-09-22T23:15:00,16357,1,2026-09-23T21:35:24Z
2026-09-22T23:30:00,15997,1,2026-09-23T21:35:24Z
2026-09-22T23:45:00,15753,1,2026-09-23T21:35:24Z
2026-09-23T00:00:00,15641,1,2026-09-24T17:18:20Z
2026-09-23T00:15:00,15819,1,2026-09-24T17:18:20Z
2026-09-23T00:30:00,15458,1,2026-09-24T17:18:20Z
2026-09-23T00:45:00,15430,1,2026-09-24T17:18:20Z
2026-09-23T01:00:00,15342,1,2026-09-24T17:18:20Z
2026-09-23T01:15:00,15362,1,2026-09-24T17:18:20Z
2026-09-23T01:30:00,15353,1,2026-09-24T17:18:20Z
2026-09-23T01:45:00,15288,1,2026-09-24T17:18:20Z
2026-09-23T02:00:00,15213,1,2026-09-24T17:18:20Z
2026-09-23T02:15:00,15179,1,2026-09-24T17:18:20Z
2026-09-23T02:30:00,15176,1,2026-09-24T17:18:20Z
2026-09-23T02:45:00,15218,1,2026-09-24T17:18:20Z
2026-09-23T03:00:00,15091,1,2026-09-24T17:18:20Z
2026-09-23T03:15:00,15343,1,2026-09-24T17:18:20Z
2026-09-23T03:30:00,15417,1,2026-09-24T17:18:20Z
2026-09-23T03:45:00,15302,1,2026-09-24T17:18:20Z
2026-09-23T04:00:00,15229,1,2026-09-24T17:18:20Z
2026-09-23T04:15:00,15573,1,2026-09-24T17:18:20Z
2026-09-23T04:30:00,15678,1,2026-09-24T17:18:20Z
2026-09-23T04:45:00,15843,1,2026-09-24T17:18:20Z
2026-09-23T05:00:00,15760,1,2026-09-24T17:18:20Z
2026-09-23T05:15:00,16195,1,2026-09-24T17:18:20Z
2026-09-23T05:30:00,16512,1,2026-09-24T17:18:20Z
2026-09-23T05:45:00,16922,1,2026-09-24T17:18:20Z
2026-09-23T06:00:00,17167,1,2026-09-24T17:18:20Z
2026-09-23T06:15:00,17760,1,2026-09-24T17:18:20Z
2026-09-23T06:30:00,18318,1,2026-09-24T17:18:20Z
2026-09-23T06:45:00,18675,1,2026-09-24T17:18:20Z
2026-09-23T07:00:00,19026,1,2026-09-24T17:18:20Z
2026-09-23T07:15:00,19062,1,2026-09-24T17:18:20Z
2026-09-23T07:30:00,19376,1,2026-09-24T17:18:20Z
2026-09-23T07:45:00,19457,1,2026-09-24T17:18:20Z
2026-09-23T08:00:00,19399,1,2026-09-24T17:18:20Z
2026-09-23T08:15:00,19144,1,2026-09-24T17:18:20Z
2026-09-23T08:30:00,18986,1,2026-09-24T17:18:20Z
2026-09-23T08:45:00,19008,1,2026-09-24T17:18:20Z
2026-09-23T09:00:00,18946,1,2026-09-24T17:18:20Z
2026-09-23T09:15:00,18860,1,2026-09-24T17:18:20Z
2026-09-23T09:30:00,18612,1,2026-09-24T17:18:20Z
2026-09-23T09:45:00,18506,1,2026-09-24T17:18:20Z
2026-09-23T10:00:00,18478,1,2026-09-24T17:18:20Z
2026-09-23T10:15:00,18472,1,2026-09-24T17:18:20Z
2026-09-23T10:30:00,18281,1,2026-09-24T17:18:20Z
2026-09-23T10:45:00,18441,1,2026-09-24T17:18:20Z
2026-09-23T11:00:00,18207,1,2026-09-24T17:18:20Z
2026-09-23T11:15:00,18454,1,2026-09-24T17:18:20Z
2026-09-23T11:30:00,18468,1,2026-09-24T17:18:20Z
2026-09-23T11:45:00,18269,1,2026-09-24T17:18:20Z
2026-09-23T12:00:00,18328,1,2026-09-24T17:18:20Z
2026-09-23T12:15:00,18313,1,2026-09-24T17:18:20Z
2026-09-23T12:30:00,18120,1,2026-09-24T17:18:20Z
2026-09-23T12:45:00,18231,1,2026-09-24T17:18:20Z
2026-09-23T13:00:00,17984,1,2026-09-24T17:18:20Z
2026-09-23T13:15:00,18028,1,2026-09-24T17:18:20Z
2026-09-23T13:30:00,18050,1,2026-09-24T17:18:20Z
2026-09-23T13:45:00,18118,1,2026-09-24T17:18:20Z
2026-09-23T14:00:00,17873,1,2026-09-24T17:18:20Z
2026-09-23T14:15:00,17888,1,2026-09-24T17:18:20Z
2026-09-23T14:30:00,18012,1,2026-09-24T17:18:20Z
2026-09-23T14:45:00,17937,1,2026-09-24T17:18:20Z
2026-09-23T15:00:00,17740,1,2026-09-24T17:18:20Z
2026-09-23T15:15:00,17757,1,2026-09-24T17:18:20Z
2026-09-23T15:30:00,17969,1,2026-09-24T17:18:20Z
2026-09-23T15:45:00,18005,1,2026-09-24T17:18:20Z
2026-09-23T16:00:00,17916,1,2026-09-24T17:18:20Z
2026-09-23T16:15:00,18106,1,2026-09-24T17:18:20Z
2026-09-23T16:30:00,18272,1,2026-09-24T17:18:20Z
2026-09-23T16:45:00,18620,1,2026-09-24T17:18:20Z
2026-09-23T17:00:00,18701,1,2026-09-24T17:18:20Z
2026-09-23T17:15:00,19093,1,2026-09-24T17:18:20Z
2026-09-23T17:30:00,19123,1,2026-09-24T17:18:20Z
2026-09-23T17:45:00,19264,1,2026-09-24T17:18:20Z
2026-09-23T18:00:00,19203,1,2026-09-24T17:18:20Z
2026-09-23T18:15:00,19307,1,2026-09-24T17:18:20Z
2026-09-23T18:30:00,19194,1,2026-09-24T17:18:20Z
2026-09-23T18:45:00,19315,1,2026-09-24T17:18:20Z
2026-09-23T19:00:00,19270,1,2026-09-24T17:18:20Z
2026-09-23T19:15:00,19492,1,2026-09-24T17:18:20Z
2026-09-23T19:30:00,19325,1,2026-09-24T17:18:20Z
2026-09-23T19:45:00,19224,1,2026-09-24T17:18:20Z
2026-09-23T20:00:00,19115,1,2026-09-24T17:18:20Z
2026-09-23T20:15:00,18975,1,2026-09-24T17:18:20Z
2026-09-23T20:30:00,18883,1,2026-09-24T17:18:20Z
2026-09-23T20:45:00,18513,1,2026-09-24T17:18:20Z
2026-09-23T21:00:00,18089,1,2026-09-24T17:18:20Z
2026-09-23T21:15:00,18041,1,2026-09-24T17:18:20Z
2026-09-23T21:30:00,18118,1,2026-09-24T17:18:20Z
2026-09-23T21:45:00,17917,1,2026-09-24T17:18:20Z
2026-09-23T22:00:00,17670,1,2026-09-24T17:18:20Z
2026-09-23T22:15:00,17308,1,2026-09-24T17:18:20Z
2026-09-23T22:30:00,17219,1,2026-09-24T17:18:20Z
2026-09-23T22:45:00,16961,1,2026-09-24T17:18:20Z
2026-09-23T23:00:00,16715,1,2026-09-24T17:18:20Z
2026-09-23T23:15:00,16518,1,2026-09-24T17:18:20Z
2026-09-23T23:30:00,16001,1,2026-09-24T17:18:20Z
2026-09-23T23:45:00,15907,1,2026-09-24T17:18:20Z
2026-09-24T00:00:00,15734,1,2026-09-24T17:18:20Z
2026-09-24T00:15:00,15683,1,2026-09-24T17:18:20Z
2026-09-24T00:30:00,15617,1,2026-09-24T17:18:20Z
2026-09-24T00:45:00,15651,1,2026-09-24T17:18:20Z
